Total Score	Alignment
16987129	/tmp/bro868/IRMAv1.0.2/irma_output-Tp3cPu2HOucScPC1UW1i5dwsBbJeBTNN/ASSEMBLY/F1-A_HA_H5.sam
17032141	/tmp/bro868/IRMAv1.0.2/irma_output-Tp3cPu2HOucScPC1UW1i5dwsBbJeBTNN/ASSEMBLY/F2-A_HA_H5.sam
17032141	/tmp/bro868/IRMAv1.0.2/irma_output-Tp3cPu2HOucScPC1UW1i5dwsBbJeBTNN/ASSEMBLY/F3-A_HA_H5.sam
62709884	/tmp/bro868/IRMAv1.0.2/irma_output-Tp3cPu2HOucScPC1UW1i5dwsBbJeBTNN/ASSEMBLY/F1-A_MP.sam
62709884	/tmp/bro868/IRMAv1.0.2/irma_output-Tp3cPu2HOucScPC1UW1i5dwsBbJeBTNN/ASSEMBLY/F2-A_MP.sam
32849513	/tmp/bro868/IRMAv1.0.2/irma_output-Tp3cPu2HOucScPC1UW1i5dwsBbJeBTNN/ASSEMBLY/F1-A_NA_N3.sam
32849513	/tmp/bro868/IRMAv1.0.2/irma_output-Tp3cPu2HOucScPC1UW1i5dwsBbJeBTNN/ASSEMBLY/F2-A_NA_N3.sam
16861119	/tmp/bro868/IRMAv1.0.2/irma_output-Tp3cPu2HOucScPC1UW1i5dwsBbJeBTNN/ASSEMBLY/F1-A_NP.sam
16861119	/tmp/bro868/IRMAv1.0.2/irma_output-Tp3cPu2HOucScPC1UW1i5dwsBbJeBTNN/ASSEMBLY/F2-A_NP.sam
62443413	/tmp/bro868/IRMAv1.0.2/irma_output-Tp3cPu2HOucScPC1UW1i5dwsBbJeBTNN/ASSEMBLY/F1-A_NS.sam
62443413	/tmp/bro868/IRMAv1.0.2/irma_output-Tp3cPu2HOucScPC1UW1i5dwsBbJeBTNN/ASSEMBLY/F2-A_NS.sam
2312791	/tmp/bro868/IRMAv1.0.2/irma_output-Tp3cPu2HOucScPC1UW1i5dwsBbJeBTNN/ASSEMBLY/F1-A_PA.sam
2312791	/tmp/bro868/IRMAv1.0.2/irma_output-Tp3cPu2HOucScPC1UW1i5dwsBbJeBTNN/ASSEMBLY/F2-A_PA.sam
2063331	/tmp/bro868/IRMAv1.0.2/irma_output-Tp3cPu2HOucScPC1UW1i5dwsBbJeBTNN/ASSEMBLY/F1-A_PB1.sam
2063331	/tmp/bro868/IRMAv1.0.2/irma_output-Tp3cPu2HOucScPC1UW1i5dwsBbJeBTNN/ASSEMBLY/F2-A_PB1.sam
3710822	/tmp/bro868/IRMAv1.0.2/irma_output-Tp3cPu2HOucScPC1UW1i5dwsBbJeBTNN/ASSEMBLY/F1-A_PB2.sam
3710822	/tmp/bro868/IRMAv1.0.2/irma_output-Tp3cPu2HOucScPC1UW1i5dwsBbJeBTNN/ASSEMBLY/F2-A_PB2.sam
